"control_issn","control_doi","control_comparison_doi","control_title","control_publisher","control_journal","control_volume","control_issue","control_type","control_date","IF","control_is_oa","control_oa_journal","control_oa_evidence","control_oa_host_type","control_score","control_tweets","control_facebook","control_feeds","control_mendeley"
"1932-6203","10.1371/journal.pone.0188990","10.1371/journal.pone.0190046","The performance of tranchet blows at the Late Middle Paleolithic site of Grotte de la Verpillière I (Saône-et-Loire, France)","Public Library of Science (PLoS)","plos one","12","11","journal-article","2017-11-30","2.766",TRUE,TRUE,"open (via page says license)","publisher",1.75,4,1,0,"8"
"1471-2164","10.1186/s12864-017-4110-y","10.1186/s12864-017-4031-9","Evolution and expression analysis reveal the potential role of the HD-Zip gene family in regulation of embryo abortion in grapes (Vitis vinifera L.)","Springer Nature","bmc genomics","18","1","journal-article","2017-09-21","3.73",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,"0"
"1471-2105","10.1186/s12859-017-1729-2","10.1186/s12859-017-1767-9","RGIFE: a ranked guided iterative feature elimination heuristic for the identification of biomarkers","Springer Nature","bmc bioinformatics","18","1","journal-article","2017-06-30","2.213",TRUE,TRUE,"open (via page says license)","publisher",3,5,0,0,"19"
"0029-8549","10.1007/s00442-017-3999-9","10.1007/s00442-017-4020-3","Safe sites of pollen placement: a conflict of interest between plants and bees?","Springer Nature","oecologia","186","1","journal-article","2017-11-13","3.127",FALSE,FALSE,NA,NA,2,4,0,0,"20"
"0027-8424","10.1073/pnas.1715124115","10.1073/pnas.1708207114","A mixed modality approach towards Xi reactivation for Rett syndrome and other X-linked disorders","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences","115","4","journal-article","2017-12-27","9.504",FALSE,FALSE,NA,NA,86.026,19,0,2,"52"
"2045-2322","10.1038/s41598-017-17914-w","10.1038/s41598-017-17063-0","Generation of bioinspired structural colors via two-photon polymerization","Springer Nature","scientific reports","7","1","journal-article","2017-12-11","4.122",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,"0"
"2045-2322","10.1038/s41598-018-20534-7","10.1038/s41598-018-19751-x","Determination of Ochratoxin A contamination in grapes, processed grape products and animal-derived products using ultra-performance liquid chromatography-tandem mass spectroscopy system","Springer Nature","scientific reports","8","1","journal-article","2018-01-26","4.122",TRUE,TRUE,"open (via page says license)","publisher",0.5,2,0,0,"11"
"1553-7358","10.1371/journal.pcbi.1005839","10.1371/journal.pcbi.1005868","Metabomatching: Using genetic association to identify metabolites in proton NMR spectroscopy","Public Library of Science (PLoS)","plos computational biology","13","12","journal-article","2017-12-01","3.955",TRUE,TRUE,"open (via page says license)","publisher",13,25,0,0,"23"
"2150-7511","10.1128/mbio.01613-17","10.1128/mbio.01263-17","Straight from the Horse’s “Mouth”: Genomic Epidemiology of an Icelandic Equine Epidemic","American Society for Microbiology","mbio","8","5","journal-article","2017-10-11","6.689",TRUE,TRUE,"open (via page says license)","publisher",2.2,4,0,0,"4"
"0001-6322","10.1007/s00401-017-1788-5","10.1007/s00401-017-1789-4","Parkinson’s disease: experimental models and reality","Springer Nature","acta neuropathologica","135","1","journal-article","2017-11-18","15.876",FALSE,FALSE,NA,NA,2.5,7,0,0,"45"
"2045-2322","10.1038/s41598-017-14911-x","10.1038/s41598-017-16638-1","Development of a multiplex Endopep-MS assay for simultaneous detection of botulinum toxins A, B and E","Springer Nature","scientific reports","7","1","journal-article","2017-10-26","4.122",TRUE,TRUE,"open (via page says license)","publisher",1.35,2,0,0,"7"
"0028-646X","10.1111/nph.14846","10.1111/nph.14855","WRKY70 prevents axenic activation of plant immunity by direct repression of SARD1
                    ","Wiley","new phytologist","217","2","journal-article","2017-10-27","7.433",FALSE,FALSE,NA,NA,3.25,5,1,0,"18"
"1367-4803","10.1093/bioinformatics/bty041","10.1093/bioinformatics/bty077","Evolutionary relationship between the cysteine and histidine rich domains (CHORDs) and Btk-type zinc fingers","Oxford University Press (OUP)","bioinformatics","34","12","journal-article","2018-01-26","5.481",TRUE,FALSE,"open (via free pdf)","publisher",1.25,4,0,0,"3"
"0019-9567","10.1128/iai.00486-17","10.1128/iai.00659-17","
                    Evaluation of a
                    Plasmodium
                    -Specific Carrier Protein To Enhance Production of Recombinant
                    Pf
                    s25, a Leading Transmission-Blocking Vaccine Candidate
                  ","American Society for Microbiology","infection and immunity","86","1","journal-article","2017-10-10","3.256",FALSE,FALSE,NA,NA,0.5,1,0,0,"5"
"0918-9440","10.1007/s10265-018-1019-8","10.1007/s10265-018-1017-x","Reproductive biology of the threatened Lilium pomponium (Liliaceae), a species endemic to Maritime and Ligurian Alps","Springer Nature","journal of plant research","131","4","journal-article","2018-03-02","2",FALSE,FALSE,NA,NA,1.25,4,0,0,"4"
"1053-8119","10.1016/j.neuroimage.2017.09.063","10.1016/j.neuroimage.2017.10.044","Cortical cores in network dynamics","Elsevier BV","neuroimage","180",NA,"journal-article","2017-09-30","5.426",FALSE,FALSE,NA,NA,9.45,19,0,0,"81"
"1422-0067","10.3390/ijms18071530","10.3390/ijms18081709","Alternative Pre-mRNA Splicing in Mammals and Teleost Fish: A Effective Strategy for the Regulation of Immune Responses Against Pathogen Infection","MDPI AG","international journal of molecular sciences","18","7","journal-article","2017-07-18","3.687",TRUE,TRUE,"oa journal (via doaj)","publisher",0.25,1,0,0,"5"
"0969-2126","10.1016/j.str.2018.01.014","10.1016/j.str.2017.12.014","GPCRs Moonlighting as Scramblases: Mechanism Revealed","Elsevier BV","structure","26","2","journal-article","2018-02-06","4.907",FALSE,FALSE,NA,NA,0.5,2,0,0,"4"
"0899-7667","10.1162/neco_a_01056","10.1162/neco_a_01062","Information-Theoretic Bounds and Approximations in Neural Population Coding","MIT Press - Journals","neural computation","30","4","journal-article","2018-01-18","1.651",TRUE,FALSE,"oa repository (via OAI-PMH title and first author match)","repository",0.25,1,0,0,"9"
"1534-7362","10.1167/17.11.11","10.1167/17.12.5","Linking crowding, visual span, and reading","Association for Research in Vision and Ophthalmology (ARVO)","journal of vision","17","11","journal-article","2017-10-03","2.266",TRUE,TRUE,"open (via page says license)","publisher",0.25,1,0,0,"19"
"1949-2553","10.18632/oncotarget.23522","10.18632/oncotarget.23000","RUNX2 promotes epithelial differentiation of ADSCs and burn wound healing via targeting E-cadherin","Impact Journals, LLC","oncotarget","9","2","journal-article","2017-12-21",NA,TRUE,FALSE,"open (via page says license)","publisher",0,0,0,0,"0"
"1471-2105","10.1186/s12859-017-1793-7","10.1186/s12859-017-1785-7","A new and updated resource for codon usage tables","Springer Nature America, Inc","bmc bioinformatics","18","1","journal-article","2017-09-02","2.213",TRUE,TRUE,"open (via page says license)","publisher",5,4,0,0,"75"
"1088-9051","10.1101/gr.237842.118","10.1101/gr.229799.117","A statement about the publication describing genome sequencing of the Atacama skeleton","Cold Spring Harbor Laboratory","genome research","28","5","journal-article","2018-03-30","10.101",TRUE,FALSE,"open (via free pdf)","publisher",50.15,67,1,1,"0"
"1532-0464","10.1016/j.jbi.2018.04.005","10.1016/j.jbi.2018.03.007","Research Electronic Data Capture (REDCap®) used as an audit tool with a built-in database","Elsevier BV","journal of biomedical informatics","81",NA,"journal-article","2018-04-09","2.882",FALSE,FALSE,NA,NA,0.5,1,0,0,"9"
"1932-6203","10.1371/journal.pone.0188850","10.1371/journal.pone.0189616","A low fat diet ameliorates pathology but retains beneficial effects associated with CPT1b knockout in skeletal muscle","Public Library of Science (PLoS)","plos one","12","12","journal-article","2017-12-14","2.766",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,"0"
"0008-5472","10.1158/0008-5472.can-17-1701","10.1158/0008-5472.can-17-1120","Genomic Activation ofPPARGReveals a Candidate Therapeutic Axis in Bladder Cancer","American Association for Cancer Research (AACR)","cancer research","77","24","journal-article","2017-09-19","9.13",FALSE,FALSE,NA,NA,7.45,16,0,0,"19"
"2057-1577","10.1093/ve/vex031","10.1093/ve/vex034","Full-genome dengue virus sequencing in mosquito saliva shows lack of convergent positive selection during transmission by Aedes aegypti","Oxford University Press (OUP)","virus evolution","3","2","journal-article","2017-09-23",NA,TRUE,TRUE,"open (via page says Open Access)","publisher",29.9,50,0,0,"18"
"0028-0836","10.1038/d41586-018-02516-x","10.1038/nature25981","A code of ethics to get scientists talking","Springer Nature","nature","555","7694","journal-article","2018-02-27","41.577",TRUE,FALSE,"open (via free pdf)","publisher",427.23,633,16,1,"7"
"2405-8440","10.1016/j.heliyon.2017.e00444","10.1016/j.heliyon.2017.e00451","Demonstration of entanglement assisted invariance on IBM's quantum experience","Elsevier BV","heliyon","3","11","journal-article","2017-11-03",NA,TRUE,TRUE,"oa journal (via doaj)","publisher",1,1,0,0,"21"
"0022-538X","10.1128/jvi.00892-17","10.1128/jvi.01137-17","Distinct Mechanism for the Formation of the Ribonucleoprotein Complex of Tomato Spotted Wilt Virus","American Society for Microbiology","journal of virology","91","23","journal-article","2017-09-14","4.368",TRUE,FALSE,"oa repository (via OAI-PMH title and first author match)","repository",0,0,0,0,"0"
"0019-9567","10.1128/iai.00713-17","10.1128/iai.00746-17","
                     Brucella abortus
                    Senses the Intracellular Environment through the BvrR/BvrS Two-Component System, Which Allows
                    B. abortus
                    To Adapt to Its Replicative Niche
                  ","American Society for Microbiology","infection and immunity","86","4","journal-article","2018-01-24","3.256",FALSE,FALSE,NA,NA,0.25,1,0,0,"11"
"1367-4803","10.1093/bioinformatics/btx704","10.1093/bioinformatics/btx744","BEAM web server: a tool for structural RNA motif discovery","Oxford University Press (OUP)","bioinformatics","34","6","journal-article","2017-10-30","5.481",TRUE,FALSE,"open (via page says Open Access)","publisher",3.25,5,0,0,"13"
"2050-084X","10.7554/elife.28383","10.7554/elife.30120","A map of human PRDM9 binding provides evidence for novel behaviors of PRDM9 and other zinc-finger proteins in meiosis","eLife Sciences Publications, Ltd","elife","6",NA,"journal-article","2017-10-26","7.616",TRUE,TRUE,"open (via page says license)","publisher",17.4,34,0,0,"37"
"2041-1723","10.1038/s41467-017-01904-7","10.1038/s41467-017-01415-5","Complete 3-Qubit Grover search on a programmable quantum computer","Springer Nature","nature communications","8","1","journal-article","2017-11-28","12.353",TRUE,TRUE,"open (via page says license)","publisher",36.2,21,0,0,"52"
"2160-1836","10.1534/g3.117.300393","10.1534/g3.117.300135","
            Global Transcriptome Sequencing Reveals Molecular Profiles of Summer Diapause Induction Stage of Onion Maggot,
            Delia antiqua
            (Diptera: Anthomyiidae)
          ","Genetics Society of America","g3&amp;#58; genes|genomes|genetics","8","1","journal-article","2017-11-21","2.742",TRUE,TRUE,"oa journal (via doaj)","publisher",0.5,2,0,0,"4"
"1471-2105","10.1186/s12859-017-1806-6","10.1186/s12859-017-1789-3","ScaPD: a database for human scaffold proteins","Springer Nature","bmc bioinformatics","18","S11","journal-article","2017-10-03","2.213",TRUE,TRUE,"open (via page says license)","publisher",1.25,3,0,0,"3"
"2050-084X","10.7554/elife.30674","10.7554/elife.30233","DDM1 and Lsh remodelers allow methylation of DNA wrapped in nucleosomes","eLife Sciences Publications, Ltd","elife","6",NA,"journal-article","2017-11-15","7.616",TRUE,TRUE,"open (via page says license)","publisher",24.55,45,0,0,"30"
"0022-0949","10.1242/jeb.162255","10.1242/jeb.167106","Juvenile hormone, but not nutrition or social cues, affects reproductive maturation in solitary alkali bees (Nomia melanderi)","The Company of Biologists","the journal of experimental biology","220","20","journal-article","2017-08-19","3.179",FALSE,FALSE,NA,NA,2,4,0,0,"13"
"2367-7163","10.3897/rio.3.e19860","10.3897/rio.3.e20696","Origin and diversification of hoverflies: a revision of the genera Asarkina and Allobaccha – A BIG4 Consortium PhD project","Pensoft Publishers","research ideas and outcomes","3",NA,"journal-article","2017-08-07",NA,TRUE,TRUE,"open (via free pdf)","publisher",6.55,10,2,0,"2"
"0028-3908","10.1016/j.neuropharm.2017.09.011","10.1016/j.neuropharm.2017.09.002","Physiological roles of CNS muscarinic receptors gained from knockout mice","Elsevier BV","neuropharmacology","136",NA,"journal-article","2017-09-11","4.249",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"0021-8782","10.1111/joa.12772","10.1111/joa.12766","The impact of artificial selection on morphological integration in the appendicular skeleton of domestic horses","Wiley","journal of anatomy","232","4","journal-article","2018-01-10","2.479",FALSE,FALSE,NA,NA,3.35,5,0,0,"11"
"0022-1767","10.4049/jimmunol.1701578","10.4049/jimmunol.1701120","CD22 Promotes B-1b Cell Responses to T Cell–Independent Type 2 Antigens","The American Association of Immunologists","the journal of immunology",NA,NA,"journal-article","2018-01-26","4.539",FALSE,FALSE,NA,NA,2.1,4,1,0,"6"
"0305-1048","10.1093/nar/gkx1123","10.1093/nar/gkx1195","Transcription-induced supercoiling as the driving force of chromatin loop extrusion during formation of TADs in interphase chromosomes","Oxford University Press (OUP)","nucleic acids research","46","4","journal-article","2017-10-30","11.561",TRUE,TRUE,"open (via page says Open Access)","publisher",82.75,80,1,0,"66"
"1744-4292","10.15252/msb.20178107","10.15252/msb.20177908","Toward an understanding of the protein interaction network of the human liver","EMBO","molecular systems biology","13","12","journal-article","2017-12-19","8.5",TRUE,TRUE,"oa journal (via doaj)","publisher",0,0,0,0,"0"
"0898-929X","10.1162/jocn_a_01184","10.1162/jocn_a_01177","Cross-language Neighborhood Effects in Learners Indicative of an Integrated Lexicon","MIT Press - Journals","journal of cognitive neuroscience","30","1","journal-article","2017-09-07","3.468",FALSE,FALSE,NA,NA,1.75,3,0,0,"5"
"1664-462X","10.3389/fpls.2017.01659","10.3389/fpls.2017.01640","Overexpression of SlGRAS40 in Tomato Enhances Tolerance to Abiotic Stresses and Influences Auxin and Gibberellin Signaling","Frontiers Media SA","frontiers in plant science","8",NA,"journal-article","2017-09-26","3.677",TRUE,TRUE,"open (via page says license)","publisher",0.75,2,0,0,"15"
