"SOURCETITLE","YEAR","IF"
"physical review e - statistical, nonlinear, and soft matter physics",2016,2.36
"ecological complexity",2014,2.36
"bmc public health",2017,2.36
"artificial organs",2016,2.36
"american journal of physical anthropology",2014,2.36
"microbiology (united kingdom)",2013,2.36
"tree genetics and genomes",2012,2.36
"journal of biosciences",2014,2.36
"placenta",2017,2.36
"bmc medical ethics",2013,2.36
"plant cell, tissue and organ culture",2015,2.36
"archives of virology",2015,2.35
"canadian journal of fisheries and aquatic sciences",2013,2.35
"marine ecology progress series",2016,2.35
"general and comparative endocrinology",2012,2.35
"journal of experimental zoology part b: molecular and developmental evolution",2017,2.35
"attention, perception, and psychophysics",2014,2.35
"extremophiles",2017,2.35
"journal of avian biology",2017,2.35
"computational and structural biotechnology journal",2015,2.35
"micromachines",2017,2.35
"frontiers in physiology",2012,2.35
"behavioral ecology and sociobiology",2014,2.35
"journal of experimental zoology part b: molecular and developmental evolution",2015,2.35
"journal of responsible innovation",2015,2.35
"biology open",2015,2.35
"cognitive computation",2015,2.35
"ecological processes",2015,2.34
"antonie van leeuwenhoek, international journal of general and molecular microbiology",2013,2.34
"mammalian genome",2015,2.34
"pathogens",2015,2.34
"mechanisms of development",2013,2.34
"neuroscience letters",2013,2.34
"environmental science: processes and impacts",2017,2.34
"immunogenetics",2016,2.34
"journal of chemical ecology",2016,2.34
"bmc developmental biology",2016,2.34
"journal of chemical ecology",2017,2.34
"microbiology (united kingdom)",2015,2.34
"tree physiology",2012,2.34
"parasitology international",2013,2.33
"bioinformatics and biology insights",2012,2.33
"neuroscience letters",2014,2.33
"bmc biotechnology",2014,2.33
"biophysical chemistry",2012,2.33
"journal of avian biology",2013,2.33
"bmc genetics",2016,2.33
"journal of community genetics",2013,2.33
"neuroscience letters",2015,2.33
"international journal for parasitology: drugs and drug resistance",2012,2.33
"fungal biology",2016,2.33
"bmc genetics",2015,2.33
"clinical and translational immunology",2016,2.33
"photosynthesis research",2012,2.33
"molecular breeding",2017,2.33
"proteins: structure, function and bioinformatics",2016,2.32
"cell death and differentiation",2018,2.32
"methods and applications in fluorescence",2017,2.32
"antonie van leeuwenhoek, international journal of general and molecular microbiology",2014,2.32
"canadian journal of fisheries and aquatic sciences",2015,2.32
"journal of theoretical biology",2015,2.32
"evolutionary biology",2015,2.32
"frontiers in neural circuits",2013,2.32
"parasitology",2017,2.32
"mutation research - fundamental and molecular mechanisms of mutagenesis",2016,2.32
"coral reefs",2016,2.31
"journal of vision",2012,2.31
"brain and behavior",2016,2.31
"algorithms for molecular biology",2012,2.31
"auk",2012,2.31
"parasitology international",2014,2.31
"journal of cancer",2012,2.31
"neurochemical research",2012,2.31
"biological control",2013,2.31
"taxon",2015,2.3
"physical review e - statistical, nonlinear, and soft matter physics",2017,2.3
"journal of insect physiology",2016,2.3
"calcified tissue international",2012,2.3
"frontiers in neural circuits",2012,2.3
"journal for immunotherapy of cancer",2014,2.3
"biological control",2017,2.3
"frontiers in psychology",2015,2.3
"consciousness and cognition",2016,2.3
"international journal of mass spectrometry",2013,2.3
"bmc medical ethics",2015,2.29
"acta paediatrica, international journal of paediatrics",2013,2.29
"american journal of medical genetics, part a",2013,2.29
"fungal biology",2012,2.29
"bmc molecular biology",2013,2.29
"human immunology",2014,2.29
"gene",2013,2.29
"microbiological research",2013,2.29
"journal of molecular graphics and modelling",2012,2.29
"journal of mathematical psychology",2012,2.29
"world journal of gastroenterology",2012,2.29
"neuroscience letters",2016,2.28
"bmc molecular biology",2014,2.28
"american journal of infection control",2016,2.28
"journal of chemical and engineering data",2017,2.28
"forensic science international",2016,2.28
"journal of molecular liquids",2013,2.28
"open forum infectious diseases",2016,2.28
"analytical chemistry",2018,2.28
"nature human behaviour",2018,2.28
"genes and development",2018,2.28
"journal of comparative psychology",2013,2.28
"american journal of infection control",2012,2.27
"comparative biochemistry and physiology -part a : molecular and integrative physiology",2017,2.27
"journal of cleaner production",2018,2.27
"clinical and experimental medicine",2012,2.27
"polar biology",2013,2.27
"american journal of infection control",2015,2.27
"biology open",2017,2.27
"physica a: statistical mechanics and its applications",2017,2.27
"twin research and human genetics",2015,2.27
"ieee transactions on nanobioscience",2017,2.27
"current cardiology reports",2015,2.27
"journal of mathematical biology",2013,2.27
"biological journal of the linnean society",2017,2.27
"physical review e - statistical, nonlinear, and soft matter physics",2015,2.27
"journal of theoretical biology",2016,2.27
"plant cell, tissue and organ culture",2016,2.27
"nature ecology and evolution",2018,2.26
"bmc bioinformatics",2017,2.26
"zoological journal of the linnean society",2012,2.26
"aerobiologia",2016,2.26
"plant cell, tissue and organ culture",2017,2.26
"ebiomedicine",2015,2.26
"new phytologist",2018,2.26
"transboundary and emerging diseases",2015,2.26
"forensic science international",2015,2.26
"bmc medical genetics",2012,2.26
"biological control",2015,2.26
"artificial organs",2014,2.25
"applied optics",2014,2.25
"neuropsychopharmacology",2018,2.25
"international journal of infectious diseases",2014,2.25
"medical oncology",2016,2.25
"journal of physics d: applied physics",2012,2.24
"genesis",2014,2.24
"journal of insect physiology",2012,2.24
"journal of animal science",2014,2.24
"journal of comparative psychology",2014,2.24
"bmc biotechnology",2012,2.24
"biological journal of the linnean society",2016,2.24
"neural development",2017,2.24
"ieee/acm transactions on computational biology and bioinformatics",2017,2.24
"artificial organs",2012,2.24
"zebrafish",2014,2.24
"molecular syndromology",2013,2.23
"current opinion in plant biology",2018,2.23
"statistics in medicine",2013,2.23
"mechanisms of development",2015,2.23
"translational psychiatry",2012,2.23
"metabolites",2014,2.23
"peerj",2016,2.23
"bmc public health",2012,2.23
"molecular informatics",2013,2.23
"international journal of developmental biology",2014,2.23
"journal of bioenergetics and biomembranes",2016,2.23
"journal of comparative psychology",2016,2.23
"bmc systems biology",2016,2.23
"basic and applied ecology",2016,2.23
"nicotine and tobacco research",2012,2.22
"brain, behavior and evolution",2012,2.22
"restoration ecology",2013,2.22
"fish and fisheries",2018,2.22
"science of the total environment",2018,2.22
"european journal of forest research",2015,2.22
"current opinion in structural biology",2018,2.21
"frontiers in aging neuroscience",2012,2.21
"human immunology",2016,2.21
"antonie van leeuwenhoek, international journal of general and molecular microbiology",2015,2.21
"journal of biomedical semantics",2014,2.21
"canadian journal of fisheries and aquatic sciences",2017,2.21
"plos biology",2018,2.21
"journal of molecular graphics and modelling",2013,2.21
"international journal of molecular sciences",2012,2.21
"neural development",2016,2.21
"human immunology",2015,2.21
"annals of human genetics",2013,2.21
"toxicon",2016,2.2
"american journal of medical genetics, part a",2016,2.2
"ecological processes",2014,2.2
"emerging microbes and infections",2013,2.2
"lab on a chip",2018,2.2
"proteins: structure, function and bioinformatics",2017,2.2
"ieee/acm transactions on computational biology and bioinformatics",2012,2.2
"frontiers in computational neuroscience",2017,2.2
"journal of controlled release",2018,2.2
"brain and behavior",2017,2.2
"genesis",2013,2.2
"journal of insect conservation",2012,2.19
"frontiers in chemistry",2015,2.19
"yeast",2015,2.19
"acta paediatrica, international journal of paediatrics",2014,2.19
"review of palaeobotany and palynology",2014,2.19
"physica d: nonlinear phenomena",2013,2.19
"cellular and molecular life sciences",2018,2.19
"molecular plant",2018,2.19
"journal of arid environments",2013,2.19
"epidemics",2012,2.19
"american journal of medical genetics, part a",2015,2.19
"animal genetics",2013,2.19
"hydrobiologia",2013,2.19
"forensic science international",2012,2.18
"european physical journal plus",2017,2.18
"journal of heredity",2016,2.18
"peerj",2017,2.18
"journal of chemical neuroanatomy",2017,2.18
"journal of avian biology",2014,2.18
"journal of vision",2016,2.18
"human heredity",2013,2.18
"neuroscience letters",2017,2.18
"journal of biomechanical engineering",2016,2.18
"biology open",2016,2.18
"nanoscale",2018,2.18
"theranostics",2018,2.18
"yeast",2016,2.18
"journal of chemical and engineering data",2013,2.18
"conservation genetics",2014,2.17
"marine pollution bulletin",2012,2.17
"physical review e - statistical, nonlinear, and soft matter physics",2012,2.17
"journal of experimental zoology part b: molecular and developmental evolution",2013,2.17
"basic and applied ecology",2014,2.17
"biological journal of the linnean society",2012,2.17
"behavioral ecology and sociobiology",2016,2.17
"journal of physics d: applied physics",2017,2.17
"molecular neurodegeneration",2018,2.17
"bmc genetics",2012,2.17
"annals of human genetics",2015,2.17
"cell systems",2018,2.17
"neural computation",2015,2.17
"annals of applied statistics",2013,2.17
"journal of microscopy",2012,2.17
"biochemical and biophysical research communications",2012,2.16
"bmc systems biology",2017,2.16
"international journal of medical informatics",2012,2.16
"hydrobiologia",2015,2.16
"ieee/acm transactions on computational biology and bioinformatics",2016,2.16
"evolutionary ecology",2017,2.16
"evolutionary ecology",2013,2.16
"biological journal of the linnean society",2015,2.16
"evolution; international journal of organic evolution",2017,2.16
"journal of chemical and engineering data",2014,2.16
"journal of insect conservation",2013,2.16
"clinical infectious diseases",2018,2.15
"auk",2016,2.15
"journal of animal science",2015,2.14
"taxon",2016,2.14
"marine genomics",2016,2.14
"royal society open science",2015,2.14
"bmc neuroscience",2017,2.14
"cancer informatics",2014,2.14
"american journal of medical genetics, part a",2017,2.14
"annals of human genetics",2012,2.14
"journal of biosciences",2013,2.14
"international journal of developmental biology",2015,2.14
"biopreservation and biobanking",2015,2.14
"journal of autoimmunity",2018,2.14
"journal of mathematical psychology",2013,2.14
"theoretical ecology",2012,2.14
"cognitive neurodynamics",2017,2.14
"eurosurveillance",2018,2.13
"bmc medical ethics",2012,2.13
"journal of heredity",2017,2.13
"auk",2017,2.13
"international journal of mass spectrometry",2012,2.13
"marine ecology progress series",2012,2.13
"artificial organs",2015,2.13
"attention, perception, and psychophysics",2013,2.13
"journal of computational neuroscience",2012,2.13
"journal of virological methods",2013,2.13
"journal of human genetics",2012,2.12
"current genetics",2012,2.12
"cbe life sciences education",2013,2.12
"biomedical microdevices",2016,2.12
"behavior genetics",2016,2.12
"bmc medical genetics",2016,2.12
"journal of community genetics",2014,2.12
"journal of avian biology",2015,2.12
"archives of virology",2016,2.12
"international journal of mass spectrometry",2015,2.11
"artificial organs",2013,2.11
"journal of arid environments",2017,2.11
"cognitive neurodynamics",2015,2.11
"artificial organs",2017,2.11
"american journal of physical anthropology",2012,2.11
"genes to cells",2016,2.11
"tree genetics and genomes",2017,2.11
"review of palaeobotany and palynology",2015,2.11
"clinical and experimental medicine",2016,2.11
"anaerobe",2012,2.11
"journal of wildlife management",2014,2.1
"archives of virology",2017,2.1
"hydrobiologia",2016,2.1
"bmc molecular biology",2016,2.1
"ieee/acm transactions on computational biology and bioinformatics",2015,2.1
"extremophiles",2012,2.1
"organic geochemistry",2012,2.1
"current cardiology reports",2016,2.1
"gut pathogens",2012,2.1
"international journal of primatology",2014,2.1
"journal of microbiological methods",2012,2.1
"neural computation",2013,2.09
"bmc medicine",2018,2.09
"journal of thermal biology",2017,2.09
"chaos",2017,2.09
"pedobiologia",2016,2.09
"siam journal on applied dynamical systems",2015,2.09
"sensors (switzerland)",2013,2.09
"current genetics",2015,2.09
"biostatistics",2012,2.09
"biogerontology",2012,2.09
"journal of vision",2015,2.09
"epidemiology and infection",2016,2.09
"journal of chemical neuroanatomy",2015,2.09
"ecological modelling",2012,2.09
"immunogenetics",2017,2.09
"entropy",2015,2.09
"transboundary and emerging diseases",2012,2.09
"bmc veterinary research",2014,2.09
"neural computation",2016,2.09
"international journal of mass spectrometry",2014,2.08
"journal of mathematical psychology",2017,2.08
"hydrobiologia",2017,2.08
"european journal of forest research",2016,2.08
"journal of neurology, neurosurgery and psychiatry",2018,2.08
"cell reports",2018,2.08
"statistics in medicine",2014,2.08
"computer graphics forum",2012,2.08
"journal of community genetics",2015,2.08
"archives of virology",2012,2.08
"epidemics",2014,2.07
"journal of neuroscience methods",2012,2.07
"taxon",2012,2.07
"arthritis and rheumatology",2018,2.07
"human immunology",2012,2.07
"journal of community health",2014,2.07
"international journal of developmental biology",2016,2.07
"development genes and evolution",2017,2.07
"vision research",2017,2.07
"journal of biomechanical engineering",2014,2.07
"physica a: statistical mechanics and its applications",2015,2.07
